Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
08/28/2023,0.3868,HOLD,BULLISH,False,-0.1284,6.0,NEUTRAL,0.7484,-0.0219,LOW,pending_explanation,-0.321,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1284 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.1294
08/29/2023,0.3889,SELL,BEARISH,True,-0.6833,14.0,BEARISH,0.7665,-0.1912,LOW,pending_explanation,-0.2082,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6833 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4498
08/30/2023,0.388,SELL,BEARISH,True,-0.7229,13.0,BEARISH,0.8118,-0.0821,LOW,pending_explanation,-0.3073,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7229 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5338
08/31/2023,0.389,HOLD,BEARISH,False,-0.0828,33.0,NEUTRAL,0.7775,-0.0272,HIGH,pending_explanation,-0.207,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.0828 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.7415
09/01/2023,0.3865,SELL,BEARISH,True,-0.7295,10.0,BEARISH,0.837,-0.2566,LOW,pending_explanation,-0.3238,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7295 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1549
09/04/2023,0.3863,SELL,BEARISH,True,-0.7304,8.0,BEARISH,0.7688,-0.1372,LOW,pending_explanation,-0.326,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7304 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1613
09/05/2023,0.3853,SELL,BULLISH,False,-0.7349,9.0,BEARISH,0.772,-0.1519,LOW,pending_explanation,-0.3372,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7349 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3784
09/06/2023,0.386,BUY,BEARISH,False,0.4692,20.0,BULLISH,0.7633,0.0811,MODERATE,pending_explanation,-0.3271,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4692 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3451
09/07/2023,0.3855,HOLD,BULLISH,False,-0.1333,17.0,NEUTRAL,0.8322,0.0064,MODERATE,pending_explanation,-0.3332,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1333 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2919
09/08/2023,0.3833,SELL,BULLISH,False,-0.7425,12.0,BEARISH,0.7471,-0.1432,LOW,pending_explanation,-0.3563,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7425 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2966
09/11/2023,0.3869,SELL,BEARISH,True,-0.7228,38.0,BEARISH,0.8478,-0.2053,HIGH,pending_explanation,-0.3069,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7228 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.1495
09/12/2023,0.385,SELL,BEARISH,True,-0.7317,25.0,BEARISH,0.7968,-0.1859,HIGH,pending_explanation,-0.3292,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7317 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3852
09/13/2023,0.3847,SELL,BEARISH,True,-0.7331,11.0,BEARISH,0.8131,-0.295,LOW,pending_explanation,-0.3327,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7331 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4038
09/14/2023,0.384,BUY,BEARISH,False,0.4636,10.0,BULLISH,0.8223,0.0726,LOW,pending_explanation,-0.341,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4636 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1429
09/15/2023,0.3845,BUY,BEARISH,False,0.4668,16.0,BULLISH,0.8447,0.2136,MODERATE,pending_explanation,-0.333,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4668 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5414
09/18/2023,0.3837,SELL,BULLISH,False,-0.7373,16.0,BEARISH,0.8037,-0.2723,MODERATE,pending_explanation,-0.3433,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7373 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2469
09/19/2023,0.3838,HOLD,BEARISH,False,-0.1366,20.0,NEUTRAL,0.7896,-0.0035,MODERATE,pending_explanation,-0.3415,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1366 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.4798
09/20/2023,0.3818,SELL,BULLISH,False,-0.827,12.0,BEARISH,0.8215,-0.1888,LOW,pending_explanation,-0.5674,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.827 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3448
